Scale,infit_flag,outfit_flag,Item,item.x,S_X2,df.S_X2,RMSEA.S_X2,p.S_X2,item.y,outfit,z.outfit,infit,z.infit
Psychoticism,,,1,EYP10,2.390493252867688,5,0,0.7928890165700333,EYP10,0.5028805033622092,-1.4025402784394263,1.247716409119965,1.2409285051898324
Psychoticism,,,2,EYP14,18.82289745532764,4,0.08215809944176691,8.514730675357131e-4,EYP14,0.9230009273324817,-2.502594086548016,0.9236527842494044,-2.890160648692092
Psychoticism,,,3,EYP22,8.737625493296868,5,0.036900029831496664,0.11999825816946423,EYP22,0.6471856254035121,-2.5234494587535305,1.0277964449497652,0.29799195239531373
Psychoticism,,,4,EYP31,8.127517392991734,5,0.03375426785666953,0.14934650697102872,EYP31,0.9772199119359049,-2.5416445256747284,0.9775676846021722,-2.537769808611663
Psychoticism,,,5,EYP39,3.6356246338918092,5,0,0.602972473290033,EYP39,0.7569608676714628,-3.2455302915824893,0.9140200087330063,-1.3720242569617205
Psychoticism,,,6,EYP2,8.225201354999438,6,0.025990992292094166,0.2220644482163428,EYP2,0.9987560271299615,-0.01988382507824743,0.99904002723078,-0.012526227229608465
Psychoticism,,,7,EYP6,18.311406836043854,6,0.06113529949196313,0.005499320934912237,EYP6,0.9862240803431968,-0.0898053280506203,1.0026338612853711,0.06030886882120386
Psychoticism,,,8,EYP18,2.389575821280218,5,0,0.7930254683973331,EYP18,0.5552378074884924,-1.0850170875433751,1.2384813063172566,1.150401874544732
Psychoticism,,,9,EYP26,11.57150805699295,6,0.04112676826224869,0.0722396920250646,EYP26,0.7953160896142515,-1.7737526451306933,1.0145880426733171,0.18230767513971807
Psychoticism,,,10,EYP28,5.933554653464566,6,0,0.4306744071552355,EYP28,0.909174415763674,-0.5019749048509135,1.0469520174333842,0.3624102353883754
Psychoticism,,,11,EYP35,4.645861008908869,6,0,0.589967292949923,EYP35,0.823378487816086,-1.121622923415391,1.0553631626886621,0.47209172739522237
Psychoticism,,,12,EYP43,11.47752994481792,5,0.04857731877894785,0.042692267072118664,EYP43,0.8804708686205209,-3.1329552008914012,0.920978093657162,-2.2549617650310236
Extraversion,,,1,EYP3,17.260889621220485,8,0.04591929252064593,0.02750424570111005,EYP3,0.9386986178948329,-1.146911586788383,0.9422464391356395,-1.5152354850877647
Extraversion,,,2,EYP7,5.164638103746914,6,0,0.5228772830677941,EYP7,0.7928712436634574,-0.6291486307417619,1.0244662880627122,0.21541377064791575
Extraversion,,,3,EYP11,4.821232680160822,6,0,0.566937510309305,EYP11,0.6453792855838785,-2.263353061382749,0.8349283312796315,-2.663770659609438
Extraversion,,,4,EYP15,6.039796332221521,6,0.003475839597153042,0.4187468766308581,EYP15,0.6180514263700402,-1.7436306550332576,0.8446270753707552,-2.1741619806006716
Extraversion,,,5,EYP19,9.254839915742059,8,0.01690296906845801,0.32125631010553235,EYP19,0.765468223372901,-3.6682823102718833,0.8497391515943081,-3.7174577176448724
Extraversion,,,6,EYP23,3.8128530823731515,8,0,0.8736013509529625,EYP23,0.7638048443351505,-2.846131814272246,0.8475631659507923,-3.5512098334746534
Extraversion,,,7,EYP32,17.41923286333676,7,0.05206941278659544,0.014883980117791197,EYP32,0.8733404508814095,-0.6180689021124365,0.8580208817431718,-2.024824364555719
Extraversion,,,8,EYP36,5.66842892758441,8,0,0.6843165270423325,EYP36,0.9368118858367716,-0.8235865101996854,0.9699282342701755,-0.5109326526360707
Extraversion,,,9,EYP44,10.947870199436224,7,0.03205134363063133,0.14090911710328108,EYP44,0.7790657694306445,-2.7258785391349796,0.9006968645192466,-2.016164744830454
Extraversion,,,10,EYP48,6.697916188056652,8,0,0.5695479902222703,EYP48,0.8804491510675233,-2.2631877061584014,0.896250746410908,-2.95285438862513
Extraversion,,,11,EYP27,18.14537629757366,7,0.0538532819953819,0.011331030062796496,EYP27,0.8301273612976823,-2.8448590164051146,0.8826523183501545,-2.852310190384938
Extraversion,,,12,EYP41,12.00071318070052,8,0.030181272242047225,0.15117206524539661,EYP41,0.8894207955900378,-2.308320521016212,0.8934384307783434,-3.144745335185716
Neuroticism,,,1,EYP1,8.347884360032802,8,0.008899923763421696,0.4002462880996581,EYP1,0.7919738923326607,-2.591325009668848,0.9116246867935268,-1.8623811086851487
Neuroticism,,,2,EYP5,13.060214891064719,8,0.0339432415291548,0.10979453321657523,EYP5,0.7325371919102309,-2.431767339417303,0.8956185203604269,-1.893054895769583
Neuroticism,,,3,EYP9,8.389965143145222,8,0.009422838095038329,0.39633308923412786,EYP9,0.8313533285252234,-0.996579708475192,0.9000418370421197,-1.567089913455927
Neuroticism,,,4,EYP13,5.3839893927099745,8,0,0.7158562939189625,EYP13,0.7288705053480787,-1.7245252215693578,0.8731979683074204,-2.1139644086156784
Neuroticism,,,5,EYP17,2.398142936930357,7,0,0.9345697584179602,EYP17,0.520144188965356,-2.272695662715089,0.8155763583082606,-2.831250837404776
Neuroticism,,,6,EYP21,3.067327577488576,8,0,0.9300615360054866,EYP21,0.7480294538947801,-2.5451851485274637,0.893283333200301,-2.0169687062051254
Neuroticism,,,7,EYP25,7.839034829363195,7,0.014775929231823463,0.347001560863143,EYP25,0.5691732874326888,-2.196351012427383,0.8350575009920482,-2.778240250416108
Neuroticism,,,8,EYP30,7.182123662769495,7,0.006884113083810305,0.4101669162834036,EYP30,0.8597060801489862,-0.5802668215605906,0.8824375645161359,-1.6820136227132474
Neuroticism,,,9,EYP34,5.708366378873062,8,0,0.6798614373862466,EYP34,0.9525971999940879,-0.28821750871972285,0.941183629421495,-0.757201370403521
Neuroticism,,,10,EYP38,5.2956395532111085,8,0,0.7255607843200818,EYP38,0.8788340069740109,-1.3816384538775919,0.9224402288585043,-1.5735018154055194
Neuroticism,,,11,EYP42,3.6899815528773865,9,0,0.9306077801520609,EYP42,0.8022387154620217,-2.2933529431662687,0.9087754705161639,-1.8246151932682853
Neuroticism,,,12,EYP46,7.147783795756655,8,0,0.5207752192332878,EYP46,0.7720247196377995,-2.5508019643396547,0.9124720387218869,-1.7864025291157477
Lie,,,1,EYP4,7.604999004604432,8,0,0.47297360929973986,EYP4,0.995301861845533,0.025996568240208535,1.0035370822596865,0.0750094186734838
Lie,,,2,EYP16,19.705163527965762,8,0.0516247042886289,0.0115109673616362,EYP16,0.975345347065158,-0.6501056004822052,0.9600435688983299,-1.2978237311448197
Lie,,,3,EYP45,9.498732957771578,9,0.010046773407112509,0.3925658336086418,EYP45,0.959336939167332,-0.46235086298007816,0.9907886562872054,-0.10887566996619139
Lie,,,4,EYP8,15.4371035550663,7,0.04685559935604142,0.030787191422451735,EYP8,0.5908336548881492,-2.7645294366089823,0.8546535843182437,-2.446308770794862
Lie,,misfit,5,EYP12,5.191177756016569,5,0.008345406686105335,0.3929971099461008,EYP12,0.4942744303104417,-2.541976434245352,0.7702908930961976,-3.734663130661331
Lie,,,6,EYP20,15.254252770416997,7,0.04634508572896185,0.03287490779050888,EYP20,0.7370151476021195,-3.5907454355214488,0.8338271664124038,-3.754428286203372
Lie,,,7,EYP24,6.51337735555719,7,0,0.4812383539361302,EYP24,0.8056629915429776,-2.962271101269948,0.8657157956356956,-3.3338120504255486
Lie,,,8,EYP29,2.830916414323305,7,0,0.9001908256795991,EYP29,0.6997884227066827,-3.5494565004113325,0.8098636944155946,-4.1911672744199535
Lie,,,9,EYP33,4.5308819906754865,8,0,0.8063355672405099,EYP33,0.8760313021862979,-2.42792036368912,0.9224722609494784,-2.0732737392858738
Lie,,,10,EYP37,6.23292245084198,8,0,0.6211589803658756,EYP37,0.8204843387355406,-2.5370329763600363,0.908203010055774,-2.0492593772212615
Lie,,,11,EYP40,10.695507285003789,7,0.031010005205541646,0.1524633429600085,EYP40,0.8772771553369446,-0.7088963332936318,0.8982494578752488,-1.3904234687968458
Lie,,,12,EYP47,8.38862763523441,6,0.026928516512965846,0.21099116776909324,EYP47,0.8495764567328479,-1.2782387877861454,0.9039651777213732,-1.5520620588288678
